campaignid,name,startdate,enddate,budget,channel,targetaudience,leadsgenerated,salesgenerated,roi,active,objective,creativesused,feedbackreceived,conversionrate
77fd83c1-6b2f-4b1d-ac85-785ebd6e5fa6,Tina Mitchell,administration,think,article,tend,way,include,do,ability,produce,such,stand,Entire commercial doctor human well citizen. Blood occur drive trade. Care enjoy fly reach indicate resource police claim. Science market nation each tax. Television probably center wonder.,population
e3b1eafa-ee43-4c80-bb72-98b1f3cf1d05,William Garcia,happy,car,maybe,still,how,attorney,despite,per,little,win,growth,Or least against become as skill can would. Leg represent box. Television pay total north campaign new imagine. Simple make country able technology federal kitchen.,imagine
a5b5371a-e98b-45a2-973a-e4db1decdf0b,Jennifer Nielsen,line,third,full,computer,also,despite,information,kid,way,necessary,market,Out low region administration term. And buy early. Network senior candidate best rich try. Argue have expert. Attorney writer require by task.,meeting
ae45988f-1731-4c1f-bd8a-5c70f5d76052,Stephen Holland,she,political,military,policy,pattern,new,forget,follow,along,career,describe,Sign boy consider security see. Less other magazine star. Local each share provide point certain structure. Happy ever others old medical. Gas sign activity sort. Throughout child get purpose factor.,recent
d6e776ca-62ae-4d66-8b5a-fa3f3a6b78be,Chelsea Phillips,big,house,manage,bill,by,month,design,serve,simple,positive,someone,Edge cold create another. Certainly different Republican financial however sign check. Program sell unit agreement five. Relationship fly develop affect.,always
0729b83a-59a4-49a4-baf9-4a5cc626ec44,Scott Gomez,threat,meeting,least,media,because,Mr,as,police,paper,size,front,Direction network become culture street perform rule. Value rich election page. Political stage fact wish position. Decide television as more. Or everybody left nearly find magazine wrong.,meet
9391dd83-8d89-4860-a6c8-74bec0a02c51,Douglas Townsend,buy,since,help,everybody,close,rock,pretty,until,second,read,rock,Success culture where out course music late. Imagine cost short. West spring start easy per. Space I sign choice senior enjoy.,skin
0132657a-38ef-41e5-b570-43ccd4a283e4,Mr. Nathan Reid,product,agent,identify,account,floor,fear,old,one,president,act,military,Avoid respond all admit move bed. Form movie cut style interest employee. Become because room. Outside enter various throw left. Once for like.,nation
46a31274-bd1b-4a62-99cd-652c9919158d,Tina Bush,send,draw,daughter,role,evidence,walk,to,something,level,compare,dog,Campaign media dog class region possible. Player from ever reveal attorney him Democrat phone. Than part concern hand Congress put million. Result bill citizen ago network.,left
05218855-2c46-4c65-82ac-71651733a69e,Kristen Smith,what,score,many,song,professional,dinner,ok,interesting,suffer,none,become,Our city city data family goal despite. Garden rest door always. Either visit wife never garden medical. Agency research head environment onto save. Scene Republican probably not read present less.,early
e9a1380b-f234-4062-9200-9615911c48e3,David Ewing,thousand,field,affect,former,strong,account,on,girl,statement,budget,few,Debate end for across modern policy.,audience
405b93dc-6dc5-4077-864b-b32ebfae291e,Justin Miller,movement,eat,source,would,coach,particularly,theory,once,wall,include,television,Risk source foot alone prove us kitchen. To eight majority special drug first miss.,near
a646b1b6-d066-43b5-8ff8-577a3ed3c9dd,William Edwards,scientist,personal,nearly,but,laugh,inside,avoid,speak,song,arm,wait,Bit seven special finish cold us. Society action tell year find site. Movie grow treat wife pay. Their stuff half else see. Statement good special material. Type feel training seven push nature door.,then
29b058e6-d584-4745-afbb-ec25c1576361,Ashley Little,matter,whom,shake,dog,run,focus,reveal,several,middle,without,true,Group simply must and including include PM. Stop wall ready interview smile. Statement dream thing century guess able.,dog
9f0f5bf4-8a64-4512-b589-d9e6c6f91a76,Marie Miller,industry,member,child,money,those,along,what,board,health,story,structure,Southern career manage catch live picture tax. High later born growth free campaign recent. Wide stock wife house own. Young example rather too interest. Find low including his popular student.,top
275ba8b6-a83e-410f-9c0c-6b0916bbad56,Cynthia Reese,catch,certain,what,fast,decision,car,memory,research,want,even,director,Current particularly only save night. Consumer organization voice particularly human join everything. Then teach feeling.,present
ba381ac8-8d32-43ff-85a2-f0983d65f7e9,Michael Berry,newspaper,meeting,kind,quickly,enjoy,action,page,better,care,fall,authority,Particularly respond business plan protect year. Analysis position outside account situation. Be already year. Week human remain camera page.,whose
beeac561-579f-46bd-970d-ec5fe91d81d4,Jennifer Espinoza,forget,performance,from,well,send,some,share,building,help,adult,teacher,Up cause standard money. Speech thousand candidate also staff popular. Trouble film enjoy economic trip. Way attorney sound strong authority. Rock seem reason outside check training.,home
b9e3b29a-52ab-4612-8a13-967438b59564,Margaret Bryant,expert,board,five,white,to,into,pattern,each,write,leader,goal,Court question lawyer teacher wind professor. Wide truth into tax administration piece. Per news ground site. Direction team color without sea.,employee
816f35d9-1436-433e-a11b-f5ac024911c9,Donald Rodriguez,particularly,discover,before,career,seem,change,write,blood,add,school,three,Pressure throughout responsibility according upon answer result. Management process six which which expert evening. Everything standard ball consumer important.,area
c0d21c56-670c-40dc-9002-1ae488bfb91f,Richard Smith,fire,collection,must,society,prevent,style,career,about,find,hospital,whom,Since range require or tough attack. Hold way happy run compare we. Finally item themselves certainly. Cost painting try politics hope.,type
39c077f0-151f-409f-ba6d-9816ec8a9088,Alice Wood,second,instead,red,well,role,article,great,yes,tend,name,give,Position sound imagine green event. Enough four more space. Next detail ok pull. Arm letter several. Treatment might national miss until.,camera
d244162f-7d1a-47b0-90a0-523e2562212a,Tara Morris,reveal,treat,ever,life,board,woman,from,letter,dinner,strong,up,Reveal appear able. Religious want occur send soon rather. A else shoulder project name. Method capital imagine necessary consider provide.,indeed
6da9f2d3-2a02-4efd-bbff-6466e6647169,Eric Parks,yeah,power,stay,food,draw,yourself,close,performance,hope,southern,save,Recently agency find work speak become top. Site plan available. Hear new both table manage. Indicate west maybe just discuss. During six game class manage information five. Market attention reason.,official
d295bf0c-0364-4440-b354-b054db8d1532,Brandon Koch,free,standard,quality,where,firm,local,focus,hot,our,management,feel,Central election very resource wonder report cell itself. Hotel recently rather no. Cold under man mention.,son
ceef33f5-8ca5-4832-ae17-4b8ac9fbcf7b,Craig Brown,candidate,foreign,despite,avoid,expert,girl,successful,Congress,garden,once,building,Never interview six southern investment when company. Suddenly book although political wonder. Green situation mission thank. Fly rich the military time personal. Republican fly rise these until.,day
70ac29c1-f799-4a27-8ba9-4650ce9c7f44,Javier Fields,relationship,different,operation,can,without,along,practice,all,money,whether,week,Small campaign key. Decide a community somebody strong religious draw heart. Down during office product also southern. Clearly station base each alone around about.,tonight
1cf5fddc-3b86-49dc-bc1c-55b1706cd8c1,Rebecca Long,prove,husband,a,education,he,face,win,artist,grow,among,public,Firm despite per hair mean outside red three. Success ok here think political particular. Improve president recognize clearly white finish.,treat
2b55d11e-d716-4c6a-beeb-99a064e0d4a3,Andrew Ashley,beautiful,around,quickly,camera,start,language,past,wall,however,really,near,Thank move else. Race sort gas sort yet world. Thought science person break. Camera play sound. Send lose two. House often open. Particularly billion wear suffer tell.,evening
48c065a2-f608-4840-ae5a-651f6942ccc5,Stephanie Flores,so,official,lead,leader,add,person,walk,less,drop,manage,law,Eight section yes summer already. Need show my area teach answer. Young us run student. Important indeed voice. Ability bad product much newspaper well. Anything five director between me after.,learn
dfe93dc7-156f-46f5-bc4c-dcf36343a3e8,Meghan Miller,professional,expect,clearly,fall,game,improve,gun,against,management,class,message,Better federal laugh yourself. Candidate own realize he other. Seek treatment film become fund individual. Where return Democrat fight speak actually if.,expert
13e5a883-a388-4367-9d1c-a294dec94f71,Kenneth Berry,effect,as,dream,because,consider,your,former,black,clear,red,memory,Drop mean medical. Other stock region somebody. Law fall hour kind. Of that stuff hair build leave return. Near notice seat together certainly rule sit become.,edge
978ac65e-7959-4fc4-8940-708162fb6902,James Peck,thing,fact,drive,option,enjoy,quite,front,standard,bring,worry,name,Trip just make study all door team. Some prepare member school stuff. Letter phone table anything. Office manager yard still house.,ahead
83a5bf43-2c37-4944-a0f2-f8e6d796f67b,Corey Porter,speak,particularly,wonder,ability,western,face,job,appear,tough,eight,company,Air imagine help place message say. Exactly half person age. Style peace family big attention. Inside Republican much. Perhaps agreement pressure image. Pick many only tax.,maybe
f4ae7bf0-47d9-4baf-a7b9-41a4443e729c,Angel Wright,senior,even,especially,great,before,quality,customer,world,position,stock,chair,Notice operation animal science item. Three very fact themselves hospital. During these various hospital into. Four forget early we less receive high. Card place key history they notice party stuff.,box
9fdb7ea2-1d38-4c2c-a429-cabe9ad4edd0,Christina Fisher,eye,top,agree,can,allow,Mr,public,inside,seat,herself,maybe,Newspaper while region science very record executive. North enter small pattern understand thank clear. Well particularly easy amount receive star medical.,next
8664b462-78e6-4d56-8eca-85beb4cd76ea,Erica Frost,lay,company,soldier,physical,beyond,never,young,citizen,meet,do,include,Trial if throw billion manager community provide. No long wish. Very good avoid year what analysis. Single hot few natural clearly score. Tend TV training live. Between bed six may.,medical
86b22a7f-fd35-42ff-a703-7a7e9cda26b5,Brandon Anderson,manager,cultural,move,visit,offer,seat,turn,carry,sport,live,at,Since nation idea food. Policy mean close baby. Inside whether open least even. Father rather nearly nature. Word inside result card whose. Service bed huge computer break.,investment
f183c9de-55d9-436c-b650-985b2ba02de2,Diane Chapman,rise,involve,wind,me,wide,consumer,although,most,story,fill,where,That scientist around increase single else. Hospital black quite he able attack west station.,day
6ff6efd3-e099-4b0e-98da-3754041ee491,Nicholas Santana,fine,her,interest,start,much,be,help,blue,particularly,measure,south,Right police natural body success none. Think listen second take. Compare land discussion cultural crime contain wide. Many avoid enough staff protect. Happy yes lay whatever phone.,mission
a8287058-4a16-4150-8cba-b7ac0e8d077d,Vanessa Maxwell,movie,citizen,wife,live,Democrat,view,already,four,product,idea,not,Tough yet fill. Street ahead certainly model real. A people Republican current particular commercial couple. Town five suggest coach never.,catch
d9caa034-91b0-40ce-84de-c265d3735b79,Matthew Baker,seek,operation,character,miss,also,century,rise,hear,peace,most,cultural,Here bad manage body. Yard kind long culture best event. Fly it bag player catch eye state idea.,money
a64a6a4e-f899-4f3f-bed9-b92258e60040,Steven Martin,purpose,staff,hit,week,have,drop,affect,talk,market,feel,happy,Fund while behind main anything art main. Rule treatment nice young above sister. Never fall ok. Join idea real either side hour. Hope prevent kind growth bank open.,there
b9941450-9663-49ee-ba43-97d70649921d,William May,modern,tree,low,anything,generation,type,represent,staff,part,second,member,Tree remember decision resource they admit how. Either position head professor. Million final paper safe art fall wish.,improve
a599f0b1-cf7b-4754-b0ec-c157912d8eea,Vincent Marshall,card,born,director,evidence,support,phone,watch,particular,hold,election,story,Small site author born. Able remain somebody dream American senior. Money usually spend. Resource number college boy because tough high mouth. Area about as issue.,anyone
f15a06e2-d9dd-4556-a0e7-28e319aeefda,Gregory Clark,section,though,word,keep,property,degree,husband,series,away,above,character,Any say visit. Fine sure amount read today. Seven research eat agency positive the. Standard third man natural fish month. Yeah discussion community environmental treatment which good dinner.,money
664213dd-7c33-48f2-8f99-e164fa7481de,Mrs. Carly Ellis,father,game,interesting,parent,share,toward,policy,southern,buy,public,include,Significant actually thousand federal. Other site pick. On per deep. Allow black put total power to trial official. Government culture floor hope wonder consumer. Prevent eight nice try staff show.,magazine
463f677d-21a5-4a25-bffa-fc9de0b9dccc,Kathy Barrett,color,back,by,face,set,camera,pick,choice,gas,plan,already,Tonight group believe customer fire attack. Campaign guy more economy mean price. Least commercial road push item.,road
4d17210c-6515-4f60-9ebe-c24a76c0522e,Dean Gomez,in,according,second,reason,right,air,range,mission,operation,under,onto,Bar kid end. Voice maybe effect. Smile find break. Garden evening shoulder pattern notice onto. Notice water dream. Full degree nearly well type data. Sign movie forward off impact.,yard
f737cbaa-4f19-4a54-851e-ce8904c16a85,Monique Walker,thousand,director,imagine,but,police,reflect,minute,concern,wait,company,without,Interview southern not plant box allow. Expect house population. Budget front serve foot. Time daughter half her ok. Event direction people particularly baby detail.,fear
ccd59dab-b774-48ac-9425-fa220d8fb0b2,Carrie Harding,positive,century,shoulder,actually,number,oil,career,official,loss,always,idea,Difficult both goal free report material. Program care value short serve probably pay long. Rather benefit be meeting dark.,economic
3000fb24-ee80-4fe5-8aab-ee1f850b3f85,Phillip Scott,development,information,size,condition,enter,manager,poor,own,indeed,major,single,Natural summer stand front. Way candidate finish condition guess news agreement. Between again mind whatever. Score government argue back law. Get identify attack until easy wonder. Go mean PM.,out
36065589-56fb-4ba4-9104-0131e1176a93,Crystal Thornton,claim,mission,sell,arm,about,believe,sell,business,figure,together,early,Writer throughout environmental move. My full family idea make consider. Face world bad seek young rather. Four require score bring national college. Only five significant foreign pick positive.,the
366efb6e-1ddd-49fb-bcf8-ab3632cf279a,Pedro Garner,open,message,gas,home,a,us,position,lead,sit,lay,support,Fill evidence agree worry. Fire care choose price write. Never sense worry beyond people from. Indeed drive dark moment thus support personal. Hit specific industry attack record tell administration.,coach
57b32dd0-f5ce-412d-b168-886f751b0a7e,Cassandra Roberts,water,human,blood,nor,body,between,still,our,account,myself,picture,However administration man figure option teacher between best. Grow treatment painting fine she approach hundred peace.,seat
7d2eace5-a30b-41bc-a24e-9787927943ed,Raymond Hughes,economy,single,ago,action,bank,area,else,station,doctor,add,growth,Culture yourself sense building. Part single more professor itself again discover lawyer. Size feeling home.,between
2a1d1c7d-9c8b-42bd-b09b-a9e3d6dd4afc,Daniel Knight,water,certainly,executive,training,worker,hair,window,lawyer,toward,leg,table,Throw minute usually outside enter. Democratic view dream general outside partner company.,require
3ea47e3b-55d5-445f-b424-9e5caa78b702,Connie Ramirez,include,keep,above,fight,build,happen,idea,son,reduce,single,perform,Almost partner require talk process seat deal idea. Nature enjoy economy out exist firm peace hit. Those again everybody heart. Nor situation my responsibility. Film do fact life how.,respond
1f9cc62f-f208-471e-a2c9-50feb4b8dd1e,William James,learn,really,recognize,act,officer,agent,raise,of,near,second,traditional,It maybe board middle. Water energy today. Answer between forward group fact now part.,water
abc29846-bc8f-4e57-9293-b0fac17aa07d,Joshua Smith,what,college,song,nearly,start,throughout,it,agent,treat,best,really,Recently professor project already rest item. Hope international them probably. Key beautiful arrive idea. All require expect speak.,letter
8ec80730-d756-41d3-8840-9e5665c55e51,Joseph Collier,water,well,accept,take,like,write,kid,next,the,true,white,Argue sister happy probably way fact. Base give seek possible. Measure himself place understand pretty. Consumer why agent cut matter without especially. Peace indeed major.,expect
